"","state","date","cases","case_diff"
"1","Alabama",2021-12-08,850096,687
"2","Alaska",2021-12-08,152977,440
"3","Arizona",2021-12-08,1301597,3506
"4","Arkansas",2021-12-08,535450,860
"5","California",2021-12-08,5142787,7932
"6","Colorado",2021-12-08,849269,2377
"7","Connecticut",2021-12-08,433464,789
"8","Delaware",2021-12-08,157751,576
"9","Florida",2021-12-08,3741058,0
"10","Georgia",2021-12-08,1675453,2371
"11","Hawaii",2021-12-08,88512,72
"12","Idaho",2021-12-08,310661,651
"13","Illinois",2021-12-08,1867912,6658
"14","Indiana",2021-12-08,1140151,5253
"15","Iowa",2021-12-08,541033,2295
"16","Kansas",2021-12-08,483062,4428
"17","Kentucky",2021-12-08,805426,3009
"18","Louisiana",2021-12-08,774913,732
"19","Maine",2021-12-08,125373,1275
"20","Maryland",2021-12-08,592679,0
"21","Massachusetts",2021-12-08,957889,5920
"22","Michigan",2021-12-08,1553790,18643
"23","Minnesota",2021-12-08,948490,3045
"24","Mississippi",2021-12-08,517925,787
"25","Missouri",2021-12-08,935956,3836
"26","Montana",2021-12-08,193277,272
"27","Nebraska",2021-12-08,318657,1207
"28","Nevada",2021-12-08,462811,652
"29","New Hampshire",2021-12-08,171538,1458
"30","New Jersey",2021-12-08,1283925,4258
"31","New Mexico",2021-12-08,326713,1441
"32","New York",2021-12-08,2806456,9466
"33","North Carolina",2021-12-08,1558510,3294
"34","North Dakota",2021-12-08,165845,470
"35","Ohio",2021-12-08,1752508,8707
"36","Oklahoma",2021-12-08,676890,1157
"37","Oregon",2021-12-08,398262,841
"38","Pennsylvania",2021-12-08,1799753,8723
"39","Rhode Island",2021-12-08,198729,693
"40","South Carolina",2021-12-08,926454,825
"41","South Dakota",2021-12-08,170416,627
"42","Tennessee",2021-12-08,1331703,2207
"43","Texas",2021-12-08,4366341,5046
"44","Utah",2021-12-08,607954,1423
"45","Vermont",2021-12-08,53835,404
"46","Virginia",2021-12-08,988147,2850
"47","Washington",2021-12-08,787245,1203
"48","West Virginia",2021-12-08,303173,1053
"49","Wisconsin",2021-12-08,1012189,14501
"50","Wyoming",2021-12-08,112551,183
